file_id,pseudo_speaker,cluster_size,corpus_guess
clip_01888,spk_026,1537,TESS
clip_01889,spk_028,472,CREMA-D
clip_01890,spk_028,472,CREMA-D
clip_01891,spk_025,1495,TESS
clip_01892,spk_007,79,CREMA-D
clip_01893,spk_018,1197,TESS
clip_01894,spk_021,264,CREMA-D
clip_01895,spk_021,264,CREMA-D
clip_01896,spk_025,1495,TESS
clip_01898,spk_029,272,CREMA-D
clip_01899,spk_060,214,CREMA-D
clip_01900,spk_094,457,CREMA-D
clip_01901,spk_001,218,CREMA-D
clip_01902,spk_018,1197,TESS
clip_01903,spk_026,1537,TESS
clip_01904,spk_060,214,CREMA-D
clip_01905,spk_025,1495,TESS
clip_01907,spk_026,1537,TESS
clip_01909,spk_026,1537,TESS
clip_01910,spk_028,472,CREMA-D
clip_01911,spk_026,1537,TESS
clip_01912,spk_026,1537,TESS
clip_01913,spk_002,173,CREMA-D
clip_01914,spk_018,1197,TESS
clip_01915,spk_028,472,CREMA-D
clip_01916,spk_025,1495,TESS
clip_01917,spk_049,23,RAVDESS
clip_01919,spk_055,125,CREMA-D
clip_01920,spk_028,472,CREMA-D
clip_01921,spk_006,58,RAVDESS
clip_01922,spk_026,1537,TESS
clip_01924,spk_025,1495,TESS
clip_01925,spk_018,1197,TESS
clip_01926,spk_025,1495,TESS
clip_01927,spk_026,1537,TESS
clip_01930,spk_088,186,CREMA-D
clip_01931,spk_076,10,RAVDESS
clip_01932,spk_018,1197,TESS
clip_01934,spk_028,472,CREMA-D
clip_01935,spk_088,186,CREMA-D
clip_01937,spk_002,173,CREMA-D
clip_01938,spk_008,17,RAVDESS
clip_01939,spk_018,1197,TESS
clip_01940,spk_026,1537,TESS
clip_01941,spk_025,1495,TESS
clip_01942,spk_015,388,CREMA-D
clip_01943,spk_043,256,CREMA-D
clip_01944,spk_025,1495,TESS
clip_01945,spk_018,1197,TESS
clip_01946,spk_026,1537,TESS
clip_01947,spk_050,11,RAVDESS
clip_01948,spk_043,256,CREMA-D
clip_01949,spk_018,1197,TESS
clip_01950,spk_018,1197,TESS
clip_01951,spk_026,1537,TESS
clip_01952,spk_078,101,CREMA-D
clip_01954,spk_026,1537,TESS
clip_01955,spk_018,1197,TESS
clip_01956,spk_018,1197,TESS
clip_01957,spk_011,96,CREMA-D
clip_01958,spk_014,23,RAVDESS
clip_01961,spk_026,1537,TESS
clip_01962,spk_018,1197,TESS
clip_01963,spk_028,472,CREMA-D
clip_01964,spk_026,1537,TESS
clip_01965,spk_043,256,CREMA-D
clip_01966,spk_029,272,CREMA-D
clip_01967,spk_026,1537,TESS
clip_01968,spk_026,1537,TESS
clip_01969,spk_018,1197,TESS
clip_01970,spk_026,1537,TESS
clip_01971,spk_055,125,CREMA-D
clip_01972,spk_025,1495,TESS
clip_01973,spk_007,79,CREMA-D
clip_01974,spk_037,14,RAVDESS
clip_01975,spk_022,48,RAVDESS
clip_01976,spk_019,11,RAVDESS
clip_01977,spk_057,16,RAVDESS
clip_01978,spk_018,1197,TESS
clip_01979,spk_001,218,CREMA-D
clip_01980,spk_018,1197,TESS
clip_01983,spk_026,1537,TESS
clip_01984,spk_038,198,CREMA-D
clip_01985,spk_026,1537,TESS
clip_01987,spk_025,1495,TESS
clip_01988,spk_025,1495,TESS
clip_01989,spk_018,1197,TESS
clip_01990,spk_018,1197,TESS
clip_01991,spk_001,218,CREMA-D
clip_01992,spk_028,472,CREMA-D
clip_01994,spk_018,1197,TESS
clip_01995,spk_088,186,CREMA-D
clip_01996,spk_088,186,CREMA-D
clip_01997,spk_029,272,CREMA-D
clip_01998,spk_029,272,CREMA-D
clip_01999,spk_012,106,CREMA-D
clip_02000,spk_018,1197,TESS
clip_02001,spk_028,472,CREMA-D
clip_02002,spk_029,272,CREMA-D
clip_02003,spk_060,214,CREMA-D
clip_02005,spk_028,472,CREMA-D
clip_02006,spk_001,218,CREMA-D
clip_02007,spk_043,256,CREMA-D
clip_02011,spk_088,186,CREMA-D
clip_02012,spk_088,186,CREMA-D
clip_02013,spk_011,96,CREMA-D
clip_02016,spk_001,218,CREMA-D
clip_02017,spk_043,256,CREMA-D
clip_02019,spk_026,1537,TESS
clip_02020,spk_025,1495,TESS
clip_02021,spk_011,96,CREMA-D
clip_02022,spk_094,457,CREMA-D
clip_02024,spk_015,388,CREMA-D
clip_02025,spk_026,1537,TESS
clip_02026,spk_025,1495,TESS
clip_02027,spk_026,1537,TESS
clip_02028,spk_028,472,CREMA-D
clip_02029,spk_018,1197,TESS
clip_02030,spk_025,1495,TESS
clip_02031,spk_074,10,RAVDESS
clip_02032,spk_018,1197,TESS
clip_02033,spk_025,1495,TESS
clip_02034,spk_021,264,CREMA-D
clip_02035,spk_026,1537,TESS
clip_02036,spk_038,198,CREMA-D
clip_02037,spk_026,1537,TESS
clip_02039,spk_021,264,CREMA-D
clip_02041,spk_026,1537,TESS
clip_02042,spk_026,1537,TESS
clip_02043,spk_088,186,CREMA-D
clip_02044,spk_026,1537,TESS
clip_02045,spk_026,1537,TESS
clip_02046,spk_025,1495,TESS
clip_02047,spk_043,256,CREMA-D
clip_02048,spk_018,1197,TESS
clip_02049,spk_043,256,CREMA-D
clip_02050,spk_018,1197,TESS
clip_02051,spk_038,198,CREMA-D
clip_02052,spk_001,218,CREMA-D
clip_02054,spk_049,23,RAVDESS
clip_02055,spk_028,472,CREMA-D
clip_02056,spk_011,96,CREMA-D
clip_02058,spk_001,218,CREMA-D
clip_02060,spk_038,198,CREMA-D
clip_02061,spk_041,37,RAVDESS
clip_02062,spk_026,1537,TESS
clip_02063,spk_018,1197,TESS
clip_02064,spk_045,60,RAVDESS
clip_02065,spk_026,1537,TESS
clip_02067,spk_094,457,CREMA-D
clip_02068,spk_029,272,CREMA-D
clip_02069,spk_015,388,CREMA-D
clip_02070,spk_018,1197,TESS
clip_02071,spk_025,1495,TESS
clip_02072,spk_043,256,CREMA-D
clip_02073,spk_025,1495,TESS
clip_02074,spk_026,1537,TESS
clip_02075,spk_094,457,CREMA-D
clip_02076,spk_060,214,CREMA-D
clip_02079,spk_025,1495,TESS
clip_02080,spk_015,388,CREMA-D
clip_02081,spk_068,29,RAVDESS
clip_02082,spk_025,1495,TESS
clip_02083,spk_025,1495,TESS
clip_02084,spk_068,29,RAVDESS
clip_02085,spk_094,457,CREMA-D
clip_02087,spk_018,1197,TESS
clip_02088,spk_026,1537,TESS
clip_02089,spk_038,198,CREMA-D
clip_02090,spk_026,1537,TESS
clip_02091,spk_018,1197,TESS
clip_02093,spk_071,8,RAVDESS
clip_02094,spk_089,3,RAVDESS
clip_02095,spk_007,79,CREMA-D
clip_02096,spk_025,1495,TESS
clip_02097,spk_012,106,CREMA-D
clip_02098,spk_029,272,CREMA-D
clip_02099,spk_025,1495,TESS
clip_02100,spk_091,2,RAVDESS
clip_02101,spk_026,1537,TESS
clip_02102,spk_006,58,RAVDESS
clip_02103,spk_026,1537,TESS
clip_02104,spk_005,33,RAVDESS
clip_02105,spk_055,125,CREMA-D
clip_02106,spk_028,472,CREMA-D
clip_02107,spk_026,1537,TESS
clip_02108,spk_010,176,CREMA-D
clip_02109,spk_028,472,CREMA-D
clip_02110,spk_004,29,RAVDESS
clip_02111,spk_018,1197,TESS
clip_02112,spk_026,1537,TESS
clip_02114,spk_018,1197,TESS
clip_02115,spk_026,1537,TESS
clip_02116,spk_094,457,CREMA-D
clip_02117,spk_037,14,RAVDESS
clip_02118,spk_002,173,CREMA-D
clip_02120,spk_026,1537,TESS
clip_02121,spk_025,1495,TESS
clip_02122,spk_028,472,CREMA-D
clip_02123,spk_037,14,RAVDESS
clip_02124,spk_026,1537,TESS
clip_02128,spk_032,13,RAVDESS
clip_02130,spk_078,101,CREMA-D
clip_02133,spk_018,1197,TESS
clip_02134,spk_026,1537,TESS
clip_02135,spk_025,1495,TESS
clip_02137,spk_026,1537,TESS
clip_02138,spk_021,264,CREMA-D
clip_02139,spk_025,1495,TESS
clip_02140,spk_026,1537,TESS
clip_02141,spk_025,1495,TESS
clip_02142,spk_018,1197,TESS
clip_02143,spk_011,96,CREMA-D
clip_02144,spk_026,1537,TESS
clip_02145,spk_088,186,CREMA-D
clip_02146,spk_014,23,RAVDESS
clip_02147,spk_050,11,RAVDESS
clip_02148,spk_088,186,CREMA-D
clip_02149,spk_025,1495,TESS
clip_02151,spk_027,96,CREMA-D
clip_02152,spk_010,176,CREMA-D
clip_02154,spk_025,1495,TESS
clip_02155,spk_060,214,CREMA-D
clip_02156,spk_025,1495,TESS
clip_02157,spk_015,388,CREMA-D
clip_02158,spk_026,1537,TESS
clip_02159,spk_025,1495,TESS
clip_02160,spk_025,1495,TESS
clip_02161,spk_026,1537,TESS
clip_02162,spk_026,1537,TESS
clip_02164,spk_026,1537,TESS
clip_02165,spk_025,1495,TESS
clip_02166,spk_026,1537,TESS
clip_02167,spk_079,12,RAVDESS
clip_02168,spk_026,1537,TESS
clip_02169,spk_028,472,CREMA-D
clip_02171,spk_041,37,RAVDESS
clip_02172,spk_024,27,RAVDESS
clip_02173,spk_025,1495,TESS
clip_02174,spk_094,457,CREMA-D
clip_02175,spk_078,101,CREMA-D
clip_02176,spk_015,388,CREMA-D
clip_02177,spk_026,1537,TESS
clip_02179,spk_033,32,RAVDESS
clip_02180,spk_026,1537,TESS
clip_02181,spk_078,101,CREMA-D
clip_02182,spk_088,186,CREMA-D
clip_02183,spk_060,214,CREMA-D
clip_02184,spk_015,388,CREMA-D
clip_02185,spk_021,264,CREMA-D
clip_02186,spk_018,1197,TESS
clip_02187,spk_028,472,CREMA-D
clip_02188,spk_049,23,RAVDESS
clip_02189,spk_043,256,CREMA-D
clip_02190,spk_018,1197,TESS
clip_02191,spk_006,58,RAVDESS
clip_02192,spk_055,125,CREMA-D
clip_02193,spk_011,96,CREMA-D
clip_02194,spk_018,1197,TESS
clip_02195,spk_078,101,CREMA-D
clip_02197,spk_015,388,CREMA-D
clip_02198,spk_092,5,RAVDESS
clip_02201,spk_026,1537,TESS
clip_02202,spk_001,218,CREMA-D
clip_02203,spk_026,1537,TESS
clip_02204,spk_088,186,CREMA-D
clip_02205,spk_088,186,CREMA-D
clip_02206,spk_025,1495,TESS
clip_02207,spk_026,1537,TESS
clip_02210,spk_094,457,CREMA-D
clip_02211,spk_001,218,CREMA-D
clip_02212,spk_026,1537,TESS
clip_02214,spk_027,96,CREMA-D
clip_02215,spk_027,96,CREMA-D
clip_02216,spk_094,457,CREMA-D
clip_02218,spk_026,1537,TESS
clip_02219,spk_015,388,CREMA-D
clip_02220,spk_026,1537,TESS
clip_02221,spk_094,457,CREMA-D
clip_02222,spk_018,1197,TESS
clip_02224,spk_039,34,RAVDESS
clip_02225,spk_018,1197,TESS
clip_02226,spk_025,1495,TESS
clip_02227,spk_018,1197,TESS
clip_02228,spk_018,1197,TESS
clip_02229,spk_026,1537,TESS
clip_02230,spk_018,1197,TESS
clip_02231,spk_025,1495,TESS
clip_02232,spk_018,1197,TESS
clip_02233,spk_018,1197,TESS
clip_02234,spk_038,198,CREMA-D
clip_02236,spk_018,1197,TESS
clip_02237,spk_015,388,CREMA-D
clip_02238,spk_025,1495,TESS
clip_02239,spk_018,1197,TESS
clip_02240,spk_025,1495,TESS
clip_02241,spk_006,58,RAVDESS
clip_02242,spk_032,13,RAVDESS
clip_02243,spk_001,218,CREMA-D
clip_02244,spk_029,272,CREMA-D
clip_02245,spk_010,176,CREMA-D
clip_02246,spk_029,272,CREMA-D
clip_02247,spk_026,1537,TESS
clip_02248,spk_057,16,RAVDESS
clip_02249,spk_028,472,CREMA-D
clip_02250,spk_044,6,RAVDESS
clip_02252,spk_028,472,CREMA-D
clip_02253,spk_021,264,CREMA-D
clip_02254,spk_090,2,RAVDESS
clip_02255,spk_018,1197,TESS
clip_02256,spk_025,1495,TESS
clip_02257,spk_060,214,CREMA-D
clip_02258,spk_094,457,CREMA-D
clip_02259,spk_025,1495,TESS
clip_02260,spk_026,1537,TESS
clip_02261,spk_026,1537,TESS
clip_02263,spk_018,1197,TESS
clip_02264,spk_043,256,CREMA-D
clip_02265,spk_020,71,CREMA-D
clip_02266,spk_009,53,RAVDESS
clip_02267,spk_034,28,RAVDESS
clip_02268,spk_026,1537,TESS
clip_02269,spk_029,272,CREMA-D
clip_02270,spk_026,1537,TESS
clip_02271,spk_001,218,CREMA-D
clip_02272,spk_010,176,CREMA-D
clip_02273,spk_018,1197,TESS
clip_02274,spk_045,60,RAVDESS
clip_02275,spk_026,1537,TESS
clip_02276,spk_041,37,RAVDESS
clip_02277,spk_026,1537,TESS
clip_02279,spk_026,1537,TESS
clip_02280,spk_009,53,RAVDESS
clip_02281,spk_018,1197,TESS
clip_02282,spk_026,1537,TESS
clip_02285,spk_094,457,CREMA-D
clip_02286,spk_018,1197,TESS
clip_02288,spk_018,1197,TESS
clip_02289,spk_025,1495,TESS
clip_02291,spk_043,256,CREMA-D
clip_02292,spk_029,272,CREMA-D
clip_02293,spk_060,214,CREMA-D
clip_02294,spk_015,388,CREMA-D
clip_02295,spk_043,256,CREMA-D
clip_02296,spk_025,1495,TESS
clip_02297,spk_026,1537,TESS
clip_02298,spk_015,388,CREMA-D
clip_02299,spk_025,1495,TESS
clip_02300,spk_010,176,CREMA-D
clip_02301,spk_015,388,CREMA-D
clip_02302,spk_060,214,CREMA-D
clip_02303,spk_015,388,CREMA-D
clip_02304,spk_018,1197,TESS
clip_02305,spk_025,1495,TESS
clip_02306,spk_060,214,CREMA-D
clip_02307,spk_015,388,CREMA-D
clip_02309,spk_001,218,CREMA-D
clip_02310,spk_021,264,CREMA-D
clip_02312,spk_028,472,CREMA-D
clip_02313,spk_018,1197,TESS
clip_02314,spk_043,256,CREMA-D
clip_02317,spk_025,1495,TESS
clip_02318,spk_001,218,CREMA-D
clip_02319,spk_026,1537,TESS
clip_02320,spk_043,256,CREMA-D
clip_02321,spk_018,1197,TESS
clip_02322,spk_025,1495,TESS
clip_02323,spk_088,186,CREMA-D
clip_02324,spk_028,472,CREMA-D
clip_02326,spk_088,186,CREMA-D
clip_02327,spk_028,472,CREMA-D
clip_02328,spk_038,198,CREMA-D
clip_02329,spk_025,1495,TESS
clip_02330,spk_026,1537,TESS
clip_02331,spk_010,176,CREMA-D
clip_02332,spk_055,125,CREMA-D
clip_02333,spk_085,49,RAVDESS
clip_02334,spk_018,1197,TESS
clip_02335,spk_025,1495,TESS
clip_02336,spk_026,1537,TESS
clip_02337,spk_029,272,CREMA-D
clip_02338,spk_016,13,RAVDESS
clip_02340,spk_088,186,CREMA-D
clip_02341,spk_034,28,RAVDESS
clip_02342,spk_006,58,RAVDESS
clip_02344,spk_026,1537,TESS
clip_02345,spk_025,1495,TESS
clip_02346,spk_025,1495,TESS
clip_02347,spk_043,256,CREMA-D
clip_02348,spk_078,101,CREMA-D
clip_02349,spk_088,186,CREMA-D
clip_02350,spk_026,1537,TESS
clip_02351,spk_060,214,CREMA-D
clip_02352,spk_025,1495,TESS
clip_02353,spk_034,28,RAVDESS
clip_02354,spk_015,388,CREMA-D
clip_02355,spk_028,472,CREMA-D
clip_02356,spk_018,1197,TESS
clip_02357,spk_021,264,CREMA-D
clip_02358,spk_018,1197,TESS
clip_02359,spk_021,264,CREMA-D
clip_02360,spk_026,1537,TESS
clip_02361,spk_021,264,CREMA-D
clip_02362,spk_041,37,RAVDESS
clip_02363,spk_020,71,CREMA-D
clip_02364,spk_026,1537,TESS
clip_02365,spk_025,1495,TESS
clip_02366,spk_051,4,RAVDESS
clip_02367,spk_025,1495,TESS
clip_02368,spk_026,1537,TESS
clip_02370,spk_041,37,RAVDESS
clip_02371,spk_026,1537,TESS
clip_02376,spk_026,1537,TESS
clip_02378,spk_078,101,CREMA-D
clip_02379,spk_025,1495,TESS
clip_02380,spk_025,1495,TESS
clip_02381,spk_025,1495,TESS
clip_02382,spk_025,1495,TESS
clip_02383,spk_026,1537,TESS
clip_02385,spk_041,37,RAVDESS
clip_02386,spk_026,1537,TESS
clip_02388,spk_029,272,CREMA-D
clip_02389,spk_094,457,CREMA-D
clip_02390,spk_021,264,CREMA-D
clip_02393,spk_094,457,CREMA-D
clip_02394,spk_025,1495,TESS
clip_02395,spk_018,1197,TESS
clip_02397,spk_043,256,CREMA-D
clip_02399,spk_025,1495,TESS
clip_02400,spk_025,1495,TESS
clip_02401,spk_026,1537,TESS
clip_02402,spk_038,198,CREMA-D
clip_02403,spk_094,457,CREMA-D
clip_02404,spk_021,264,CREMA-D
clip_02406,spk_001,218,CREMA-D
clip_02408,spk_078,101,CREMA-D
clip_02409,spk_060,214,CREMA-D
clip_02410,spk_060,214,CREMA-D
clip_02411,spk_025,1495,TESS
clip_02412,spk_026,1537,TESS
clip_02414,spk_021,264,CREMA-D
clip_02415,spk_025,1495,TESS
clip_02416,spk_026,1537,TESS
clip_02417,spk_073,2,RAVDESS
clip_02418,spk_002,173,CREMA-D
clip_02420,spk_026,1537,TESS
clip_02421,spk_027,96,CREMA-D
clip_02422,spk_027,96,CREMA-D
clip_02424,spk_043,256,CREMA-D
clip_02425,spk_018,1197,TESS
clip_02426,spk_018,1197,TESS
clip_02427,spk_022,48,RAVDESS
clip_02428,spk_094,457,CREMA-D
clip_02429,spk_028,472,CREMA-D
clip_02430,spk_055,125,CREMA-D
clip_02431,spk_033,32,RAVDESS
clip_02432,spk_018,1197,TESS
clip_02433,spk_085,49,RAVDESS
clip_02434,spk_045,60,RAVDESS
clip_02435,spk_018,1197,TESS
clip_02436,spk_025,1495,TESS
clip_02437,spk_029,272,CREMA-D
clip_02438,spk_094,457,CREMA-D
clip_02439,spk_012,106,CREMA-D
clip_02441,spk_018,1197,TESS
clip_02442,spk_029,272,CREMA-D
clip_02443,spk_026,1537,TESS
clip_02444,spk_015,388,CREMA-D
clip_02445,spk_025,1495,TESS
clip_02446,spk_025,1495,TESS
clip_02448,spk_015,388,CREMA-D
clip_02449,spk_038,198,CREMA-D
clip_02450,spk_039,34,RAVDESS
clip_02451,spk_010,176,CREMA-D
clip_02452,spk_026,1537,TESS
clip_02453,spk_094,457,CREMA-D
clip_02454,spk_093,2,RAVDESS
clip_02455,spk_021,264,CREMA-D
clip_02456,spk_015,388,CREMA-D
clip_02457,spk_018,1197,TESS
clip_02458,spk_021,264,CREMA-D
clip_02460,spk_025,1495,TESS
clip_02461,spk_025,1495,TESS
clip_02462,spk_007,79,CREMA-D
clip_02463,spk_001,218,CREMA-D
clip_02464,spk_038,198,CREMA-D
clip_02465,spk_021,264,CREMA-D
clip_02466,spk_041,37,RAVDESS
clip_02467,spk_026,1537,TESS
clip_02469,spk_018,1197,TESS
clip_02470,spk_025,1495,TESS
clip_02471,spk_025,1495,TESS
clip_02472,spk_038,198,CREMA-D
clip_02473,spk_025,1495,TESS
clip_02474,spk_018,1197,TESS
clip_02475,spk_018,1197,TESS
clip_02476,spk_043,256,CREMA-D
clip_02477,spk_010,176,CREMA-D
clip_02479,spk_075,20,RAVDESS
clip_02480,spk_025,1495,TESS
clip_02481,spk_025,1495,TESS
clip_02482,spk_026,1537,TESS
clip_02483,spk_018,1197,TESS
clip_02485,spk_025,1495,TESS
clip_02486,spk_018,1197,TESS
clip_02487,spk_001,218,CREMA-D
clip_02488,spk_026,1537,TESS
clip_02491,spk_026,1537,TESS
clip_02492,spk_068,29,RAVDESS
clip_02495,spk_026,1537,TESS
clip_02496,spk_009,53,RAVDESS
clip_02497,spk_025,1495,TESS
clip_02500,spk_045,60,RAVDESS
clip_02502,spk_021,264,CREMA-D
clip_02506,spk_080,38,RAVDESS
clip_02507,spk_025,1495,TESS
clip_02508,spk_025,1495,TESS
clip_02510,spk_021,264,CREMA-D
clip_02512,spk_025,1495,TESS
clip_02513,spk_079,12,RAVDESS
clip_02515,spk_026,1537,TESS
clip_02516,spk_015,388,CREMA-D
clip_02518,spk_094,457,CREMA-D
clip_02519,spk_015,388,CREMA-D
clip_02521,spk_025,1495,TESS
clip_02522,spk_029,272,CREMA-D
clip_02523,spk_018,1197,TESS
clip_02524,spk_045,60,RAVDESS
clip_02525,spk_025,1495,TESS
clip_02526,spk_015,388,CREMA-D
clip_02529,spk_025,1495,TESS
clip_02530,spk_018,1197,TESS
clip_02531,spk_006,58,RAVDESS
clip_02532,spk_028,472,CREMA-D
clip_02533,spk_043,256,CREMA-D
clip_02534,spk_078,101,CREMA-D
clip_02535,spk_028,472,CREMA-D
clip_02536,spk_026,1537,TESS
clip_02537,spk_026,1537,TESS
clip_02538,spk_025,1495,TESS
clip_02539,spk_094,457,CREMA-D
clip_02540,spk_002,173,CREMA-D
clip_02541,spk_026,1537,TESS
clip_02542,spk_041,37,RAVDESS
clip_02543,spk_027,96,CREMA-D
clip_02544,spk_025,1495,TESS
clip_02545,spk_026,1537,TESS
clip_02546,spk_060,214,CREMA-D
clip_02547,spk_088,186,CREMA-D
clip_02549,spk_025,1495,TESS
clip_02550,spk_088,186,CREMA-D
clip_02551,spk_078,101,CREMA-D
clip_02552,spk_002,173,CREMA-D
clip_02554,spk_025,1495,TESS
clip_02556,spk_025,1495,TESS
clip_02557,spk_026,1537,TESS
clip_02558,spk_025,1495,TESS
clip_02559,spk_049,23,RAVDESS
clip_02560,spk_015,388,CREMA-D
clip_02561,spk_018,1197,TESS
clip_02562,spk_018,1197,TESS
clip_02563,spk_043,256,CREMA-D
clip_02564,spk_025,1495,TESS
clip_02565,spk_026,1537,TESS
clip_02566,spk_043,256,CREMA-D
clip_02568,spk_028,472,CREMA-D
clip_02569,spk_001,218,CREMA-D
clip_02570,spk_060,214,CREMA-D
clip_02571,spk_025,1495,TESS
clip_02572,spk_094,457,CREMA-D
clip_02573,spk_026,1537,TESS
clip_02574,spk_015,388,CREMA-D
clip_02575,spk_026,1537,TESS
clip_02576,spk_025,1495,TESS
clip_02577,spk_029,272,CREMA-D
clip_02579,spk_060,214,CREMA-D
clip_02580,spk_010,176,CREMA-D
clip_02581,spk_025,1495,TESS
clip_02582,spk_078,101,CREMA-D
clip_02583,spk_025,1495,TESS
clip_02584,spk_001,218,CREMA-D
clip_02585,spk_025,1495,TESS
clip_02586,spk_025,1495,TESS
clip_02587,spk_026,1537,TESS
clip_02588,spk_028,472,CREMA-D
clip_02590,spk_026,1537,TESS
clip_02592,spk_018,1197,TESS
clip_02593,spk_014,23,RAVDESS
clip_02594,spk_005,33,RAVDESS
clip_02595,spk_060,214,CREMA-D
clip_02596,spk_026,1537,TESS
clip_02597,spk_026,1537,TESS
clip_02598,spk_025,1495,TESS
clip_02599,spk_026,1537,TESS
clip_02600,spk_015,388,CREMA-D
clip_02601,spk_029,272,CREMA-D
clip_02602,spk_018,1197,TESS
clip_02603,spk_018,1197,TESS
clip_02604,spk_018,1197,TESS
clip_02605,spk_010,176,CREMA-D
clip_02606,spk_025,1495,TESS
clip_02607,spk_025,1495,TESS
clip_02608,spk_018,1197,TESS
clip_02609,spk_025,1495,TESS
clip_02610,spk_025,1495,TESS
clip_02612,spk_018,1197,TESS
clip_02613,spk_060,214,CREMA-D
clip_02615,spk_018,1197,TESS
clip_02616,spk_028,472,CREMA-D
clip_02618,spk_026,1537,TESS
clip_02619,spk_025,1495,TESS
clip_02621,spk_028,472,CREMA-D
clip_02622,spk_002,173,CREMA-D
clip_02623,spk_010,176,CREMA-D
clip_02624,spk_026,1537,TESS
clip_02625,spk_056,6,RAVDESS
clip_02626,spk_060,214,CREMA-D
clip_02627,spk_026,1537,TESS
clip_02628,spk_015,388,CREMA-D
clip_02629,spk_045,60,RAVDESS
clip_02630,spk_060,214,CREMA-D
clip_02631,spk_038,198,CREMA-D
clip_02632,spk_028,472,CREMA-D
clip_02633,spk_015,388,CREMA-D
clip_02634,spk_055,125,CREMA-D
clip_02635,spk_025,1495,TESS
clip_02636,spk_026,1537,TESS
clip_02637,spk_025,1495,TESS
clip_02638,spk_029,272,CREMA-D
clip_02639,spk_011,96,CREMA-D
clip_02640,spk_002,173,CREMA-D
clip_02641,spk_001,218,CREMA-D
clip_02642,spk_001,218,CREMA-D
clip_02643,spk_012,106,CREMA-D
clip_02646,spk_025,1495,TESS
clip_02647,spk_027,96,CREMA-D
clip_02648,spk_015,388,CREMA-D
clip_02649,spk_001,218,CREMA-D
clip_02650,spk_018,1197,TESS
clip_02651,spk_025,1495,TESS
clip_02653,spk_038,198,CREMA-D
clip_02654,spk_094,457,CREMA-D
clip_02658,spk_034,28,RAVDESS
clip_02659,spk_025,1495,TESS
clip_02660,spk_018,1197,TESS
clip_02661,spk_028,472,CREMA-D
clip_02663,spk_025,1495,TESS
clip_02664,spk_026,1537,TESS
clip_02665,spk_026,1537,TESS
clip_02666,spk_094,457,CREMA-D
clip_02667,spk_018,1197,TESS
clip_02668,spk_025,1495,TESS
clip_02669,spk_026,1537,TESS
clip_02670,spk_055,125,CREMA-D
clip_02671,spk_018,1197,TESS
clip_02672,spk_060,214,CREMA-D
clip_02673,spk_001,218,CREMA-D
clip_02674,spk_018,1197,TESS
clip_02675,spk_025,1495,TESS
clip_02677,spk_060,214,CREMA-D
clip_02678,spk_025,1495,TESS
clip_02679,spk_014,23,RAVDESS
clip_02680,spk_094,457,CREMA-D
clip_02681,spk_018,1197,TESS
clip_02682,spk_018,1197,TESS
clip_02684,spk_079,12,RAVDESS
clip_02685,spk_015,388,CREMA-D
clip_02686,spk_060,214,CREMA-D
clip_02687,spk_002,173,CREMA-D
clip_02688,spk_056,6,RAVDESS
clip_02689,spk_088,186,CREMA-D
clip_02690,spk_094,457,CREMA-D
clip_02691,spk_026,1537,TESS
clip_02692,spk_026,1537,TESS
clip_02693,spk_055,125,CREMA-D
clip_02694,spk_025,1495,TESS
clip_02696,spk_080,38,RAVDESS
clip_02697,spk_055,125,CREMA-D
clip_02699,spk_086,7,RAVDESS
clip_02702,spk_094,457,CREMA-D
clip_02703,spk_026,1537,TESS
clip_02705,spk_025,1495,TESS
clip_02706,spk_025,1495,TESS
clip_02707,spk_001,218,CREMA-D
clip_02708,spk_025,1495,TESS
clip_02709,spk_026,1537,TESS
clip_02710,spk_055,125,CREMA-D
clip_02711,spk_028,472,CREMA-D
clip_02712,spk_025,1495,TESS
clip_02713,spk_039,34,RAVDESS
clip_02714,spk_026,1537,TESS
clip_02715,spk_018,1197,TESS
clip_02716,spk_026,1537,TESS
clip_02717,spk_094,457,CREMA-D
clip_02719,spk_026,1537,TESS
clip_02720,spk_018,1197,TESS
clip_02721,spk_021,264,CREMA-D
clip_02723,spk_094,457,CREMA-D
clip_02725,spk_015,388,CREMA-D
clip_02726,spk_015,388,CREMA-D
clip_02728,spk_018,1197,TESS
clip_02729,spk_045,60,RAVDESS
clip_02730,spk_023,2,RAVDESS
clip_02731,spk_028,472,CREMA-D
clip_02732,spk_025,1495,TESS
clip_02733,spk_025,1495,TESS
clip_02734,spk_025,1495,TESS
clip_02736,spk_026,1537,TESS
clip_02737,spk_028,472,CREMA-D
clip_02738,spk_025,1495,TESS
clip_02739,spk_015,388,CREMA-D
clip_02740,spk_027,96,CREMA-D
clip_02742,spk_026,1537,TESS
clip_02744,spk_021,264,CREMA-D
clip_02745,spk_004,29,RAVDESS
clip_02746,spk_012,106,CREMA-D
clip_02749,spk_010,176,CREMA-D
clip_02751,spk_043,256,CREMA-D
clip_02752,spk_026,1537,TESS
clip_02753,spk_026,1537,TESS
clip_02754,spk_026,1537,TESS
clip_02757,spk_026,1537,TESS
clip_02758,spk_010,176,CREMA-D
clip_02762,spk_010,176,CREMA-D
clip_02763,spk_018,1197,TESS
clip_02764,spk_002,173,CREMA-D
clip_02765,spk_029,272,CREMA-D
clip_02766,spk_043,256,CREMA-D
clip_02767,spk_043,256,CREMA-D
clip_02768,spk_025,1495,TESS
clip_02769,spk_010,176,CREMA-D
clip_02770,spk_012,106,CREMA-D
