id,text,dialect
3993,وكيف القيادات واولادهم بدهم يتفشخروا ويعملوا خمسات في الشوارع هه كبيره ما يتزبط هيك شوف حاجه تانيه نقاطعها,2
3994,ويلا بينا نركض وراه,1
3995,انسي الناس ما حدا بعرف مصلحتك غيرك,3
3996,هه م سدئت انسى الموضوع,2
3997,نطرتو ليمشي و انا رح دوب من الخجل دكتور ليث من افضل و ارقى الاطباء بالمستشفى متزوج من سبع سنين و ما عندو اولاد وما حدا بيعرف السبب يمكن العله من عندو و خجلان يحكي هه,0
3998,المشكله الصريح دايما مخطأ,2
3999,شو عملت فينا انتا يا غالي انتا دمرتنا لما تجوزت امها و جبتوها,3
4000,حتى نظراتهم فيها رجوله اسماءهم كلها رجوله يعني لما شبين يطحشو ع يهودي بسكاكين هاي فوته ابدا مش متكافئه بالعدد,3
4001,صح كلام لما كنت حامل كان في تكيس واول مانزلت راح لحالو,2
4002,التقت عند الكاش بصاحبيتها ايمان,3
4003,حبيبتي ايناس فش بعد النظافه وما لما بقعد والدار بتكون مكركبه مش عارفه جسمي بياكلني مش عارفه اقعد,2
4004,مفعول الدوده كان قوي لدرجه انو قررنا نعذب حالنا بإيدينا,3
4005,انهارت و صارت تببكي و تقلها شو بدي اعمل ياربي,0
4006,لا ابدا الحمدلله و عم صلي الوتر و السنن و صلاه الضحى و دايما بصلي ركعتين بالليل وشوفه عينك عطول عم شغل القرآن ببيتي اخدت هالعاده منك هه,0
4007,للأسف هاد المضحك المبكي معك حق,3
4008,لإنو حماسك راح يتحول لسرطان ونتا بتستنا تلاقي شغل,3
4009,من القضاء يسلم وكل مين مد ايدو عالمال العام بدو يتحاسب و البادي اظلم,1
4010,المقروض حكيتي لامك من الاول وما خليتي اختك توقع في هيك وقعه لانه مفهوم بدو ينتقم منك احكي لامك وهي بتعرف تتصرف وتشوف حياه قبل ما يصير في خلفه وتتحمليى خطيتهن,2
4011,مش كل الحموات واحد ولا كل الكناين واحد مرات الكنه بتكون مش كويسه,2
4012,بتضل رقم واحد وصعب عادل ضحك مستمر مبدع,1
4013,احسن حل انتي او تخلي زوجك يحكي مع حماتك بينو وبينها ويحكيلها تحذرها وتفهمها انو هاد غلط وتحكيلها سلفك بيخجل وبعصب لما بيشوفك بهالمنضر هاد تيجي من حماتك ولا تيجي منك تفهمها بهدوء وخليكي انتي بعيده,2
4014,هلأ عادي يمكن البنت بتقرف,0
4015,بس لا حياه لمن ينادي ولا ميزو ازا انا بنت ولا ضفدع ولا فتاحه علب,3
4016,ما بينفع هيك علميهم يختارو وكل واحد يكون مسؤول عن اختيارو واذا حبيتي تدوقيهم من شغلتك عادي لكن ما ياخدوها منك,2
4017,ولك هاد شافك طلع الماتور تضامنا معك هه,2
4018,بس انا كنت فاهمتها غلط انا اصلا بفهمش,3
4019,هي راس مالها يجي اول رمضان النا مع بعض,3
4020,بنت الراضي نفسو,0
4021,مسلسل جديد ادهم بيك من تاليف سويد الخال اكيد,1
4022,يلا يعطيك الحج عمي العافيه,3
4023,زي مراقبين التوجيهي الي عنيهم بترمش كل ست ساعات مره,3
4024,قديش وصل الرقم التسلسلي للطلاب,2
4025,رأيكم بشفافيه بالناس الي بس بدها تخطب بتحط شروط بالشكل قبل كلشي و بيضه و صفره و و زرق,3
4026,هلأ بدي اسم المخزن الي عم تحكي عنو وبدي اتاكد انو بكون جوزك هاد مبدئيا,0
4027,في قصص كتيير منيحه للمتزوجات وكيف تعاملي زوجك وكيف تخليه يتعلق فيكي وكيف تخلي اهلو يحبوكي وكيف تتعاملي معه,2
4028,الحضانه بتضل معها ازا الاولاد تحت والبنت تحت,2
4029,احنا بنستاهل الي احنا فيه لانو الناس مع بعض مش منيحه وما بتحب الخير لبعضها ومستغلين ظروف الحصار ع بعض بدل ما يساعدو ويكونو مع بعض,2
4030,بلكي تحق حلمي وشفت,3
4031,وبالنسبه لكلام الناس هيضلهم يدايقوكي بكلامهم ويحكولك ربنا يعوض عليكي باخو للولد,2
4032,عادل انت مش بس بي الكل وجد الكل انت تاج راس الكل,1
4033,عندي احلى سجاده بتوضى وبصلي ركعتين لله وكل اموري بإذن الله بتنحل,3
4034,بدي اعترف بهالقصه اسمعوني للآخر,3
4035,شو جابك على عرسنا يا ضراطه,1
4036,قومي تعي نامي عندنا بالغرفه,0
4037,اه نفس ماكان يصير معنا,2
4038,يا زلمه هو بيت شو بالزبط بيت هوڤن,3
4039,تيار المستقبل عابر للطوائف وأغلبه سنه لكنهم ليسوا متطرفين ولا يتكلمون بالمزايدات بل بفكر,1
4040,اكيد كنت بالحمام اصله شيطان الافكار بيجي وبرحمش وقتها,2
4041,صفاء ولك تعال ولك تعال يا ابن الكلب ولك تعال ولك مهو لولاك انتا كان زمان خلعتو ولك تعال لآجي اشرب من دمك,3
4042,في تراجع كتير كبير السنه بأغني الجنريك لبعض المسلسلات الرمضانيه مقارنه بالسنين لي مرقت لحد هلق بعد ما حبيت ولا غنيه,1
4043,و قعدت بالكرسي تاع اللوج اللي بكون اخر اشي قعدت بالنص انا بحبش هداك المكان بس مكانش في وسع,3
4044,شو هاد هدايه مش معقول تكوني انت عامله هيك والله بعرفك ست بيت ومعدله,2
4045,حسيت كأني كنت بعرس وقامت العروس عن اللوج من جنب عريسها ومسكت الشوكه اللي فيها قطعه كيك وطعمتني اياها واجو اهل العريس طعنوني طعنه في اجزاء مختلفه من الجسم ما علينا,3
4046,لازم تنسحب الرخصه لأن بضر في الناس الي راكبين معاه بدك تدخن انت حر ضر حالك ولا تضر الركاب,2
4047,ان شاء الله بقوم بالسلامه ومافيو شي انا طلبت غرفه عمليات تانيه لالو بكره المسا لان شفت التقارير وان شاء الله خير,0
4048,يا ابن الحلال انتا قلتلي لازم يعرف انك بتدرس وانا حاولت اجيبلو ياها بطريقه غير مباشره,3
4049,هلأ سوء التفاهم صار لما بعد اسبوعين دقلي وقلي جيب اهلي وروح لعندهن مشان نكتب الكتاب حسيت حالي فتت بالحيط,0
4050,انو التيار يسرق او يخلي حدا يسرق او يزيد من درب السرقه,1
4051,قومي اتوضي وصلي ركعتين وامسكي القران واستغفري والجوال اطفيه وارميه فوق الخزانه,2
4052,خليلي مزاجك رايق وحياتك لا تفقسنا عالصبح,1
4053,يا جماعه سماح بعتتلي بتقول رجعوني عالجروب لانها طلعت بالغلط,3
4054,هه انا ع هيك بيتي مسكون هه عادي الحيطان بتريح انا طول انهاري بسمع صوت تريح الجبس بتطقطق بصوت عالي وعادي اتعودت واصلا مع القصف الوأثار عادي عادي والمي طبيعي كلنا بسير هيك,2
4055,مع اهضم مار يحرسك و يشفيكي,1
4056,ام ياعمري انتي روحي البي وربي يرضو عليكي,0
4057,تسيبو يسرح براحتو ولا تعبرو وتكلمو بحدود الشغل,2
4058,لا تخليه يداين ويحتاج ناس ما,2
4059,بلحظه الوداع والفراق مع يعض,1
4060,كان واقف ع الباب وصل الدكتوره و رجع لعندي,0
4061,عراقي بحكيه ما يقلي تاج راسك وخط ئحمر وسري ما يقلي ما خصك فينا يا شر ولبناني ما يقلي خليك وسعودي ما يكفرني,1
4062,حبيبي صعب تخبي عليي انك مغروم ودايب فيي,1
4063,انو في اشي ممكن يخوفني اطلع من باب عمارتنا غير جربع الله يرحمه,3
4064,فتحت عيوني وانا مصدومه شو,0
4065,شو هيدا ي دلي,1
4066,حسبنا الله ونعم الوكيل العنصريه داء مخفي,1
4067,حتي لو كانو قيادتنا همهم القضيه شو طالع بايدهم يعملو لازم كل قيادات العرب يكونو ايد وحده ضدد المحتل,2
4068,انا حاسه انو هادى ساكنه فى حاره اهلى,2
4069,شو قصتن ما عم يعرفو لا يحكو ولا يتصرفو,1
4070,والله الوحده لما تعمل وما تلقى كلمه حلوه وجه حلو بتبطل اعمل برضو احنا فى اعنا احساس,2
4071,قليلي شو في,0
4072,الحمدلله انا عايشين بهاد الزمن اصبعو بتحد د الزمان والمكان,1
4073,ازا مو عاجبك محدا جابرك تتحمل,0
4074,لا مرتي شريفه و عفيفه,0
4075,هي حكت رشيئين انا قلت بس قمت و نفضت امي عن كوعي الحمدلله في ضهر كنباي لقطها ولا كان صارلها اشي المخلوقه,3
4076,شبك الك فتره مو على بعضك ابدا في شي,0
4077,ان شا الله ما حبت,2
4078,احط ايدي ع ايا مريض ويطيب,3
4079,ق تل لانه كان يبني البلد قتل لأنه رجل معتدل ونحن نكمل المسيره,1
4080,تقدم جديد للجيش في ريف الشرقي وتدمير نفق لداعش في دير الزور,1
4081,علقانين مع بجم قليل الضمير روحو سكرو الطرقات على زعمائكم يا زعران,1
4082,لك لازمي تفوتي مع جوزك على بيتكن يلا,0
4083,الناس هيك انا عندي ولله الحمد بنتين و ولد واجوني بعد معاناه وسنين من الانتظار ومستكفيه بس ربنا يقدرني على تربيتهم وهيهم بيقولولي شديد حيلك وجيبيلك كما اخو لابنك تحكي كانه الاشي بايدي ان شاءالله ربنا بيعطيكي مع بناتك يعني معنى كلامي انه حتى لو ربما رزقك بالصبي حيقولولك جبيلو اخو وهادا هوه مجتمعنا والله المستعان,2
4084,كأنها قالت حنان صح,0
4085,راجعه بخير متل ايام زمان,1
4086,ام علاء انا هلأ ببيتكن عند جهاد,0
4087,و اذا دخلت وحده بتعرفهاش و كتبت,3
4088,اي طبعا بس انا قصدت شي تاني,1
4089,لا لا امانه حبيبي تفضل,3
4090,استلقيت امامها و لم تلبث دقائق حتى انتشر الدفئ,3
4091,صفاء يالا اجتمعو الاكل جهز,0
4092,ولك افهمي من اول عرطه ملعون دبق امك,3
4093,ان بعد الظن اثم,1
4094,لو فضل شاكر بريء وما عليه شي وطلع من السحن,1
4095,مرح انا كنت احكي مع,0
4096,سال عن حالي واحوالي,1
4097,بنوصل لمرحله ما بنخاف نخسر ناس الي بزعلنا بنطلعه من حياتنا ولا كأنه صار شي لأنه بإختصار انكسرنا خيبولنا املنا كثير,2
4098,وقف وهو معصب طيب انا رح ربيهن,0
4099,ما كنت يعرف و انت ليش ما قلتلي انو بدك تتجوز مشان باركلك,0
4100,طبعا كان التصوير بطيء لإنو لغلوغي بوخد وقت و هو يلف عالجهه التانيه من الضربه,3
4101,يجب ان يذكر التاريخ كما هو لنتعلم لا سمحالله وكتاب تاريخ سيكون كتابته مشكله فكلهم براء,1
4102,و قاعد عالكنباي و صافن بالأخبار,3
4103,يد عي انو الفساد من فلان وعلتان ويحط فوق رأسه خيمه ويتناسى اخطاؤه وفساده الخاص,1
4104,خلينا نزت حالنا,0
4105,الي عم برقص وبهز على اغنيه هو ذاتو الي بقول ما بعرف ادبك,1
4106,ربنا يعينكم ويرفع عنكم البلاء مدام على القران الشي بخف فضلكم مستمرين على القران,2
4107,فرح اجت طفت المسجل رجعت شغلتو,3
4108,زادت المسافه و زاد الجفا بيني وبين امي وزاد زعلها علي وبلشو الكل يحسو انو امي مقاطعتني لانها ما عادت خبت زعلها مني,0
4109,من الدراسه و التخبط بين الكتب,3
4110,حتى ولاد الحاره زمان كانو يغارو من الولد اللي بروح يشتري للجاره,3
4111,يا بتوخدها بس بتندم عالساعه الي فكرت فيها انك بدك ياها و بتقضيها تسب ع حالك و ازا تعرقلت و اجيت ع سنانك بتحكي احسن بستاهل ما انا تيس و بعرفش افكر,3
4112,بلكي رضى ربنا وفقنا,3
4113,سلم الفائزين كؤوس بطوله الشرطه العربيه,1
4114,شو بكره هالنوع من الضيوف هيك اشكال مفروض ما تطلع من بيتها,2
4115,مسكتك مالهم نسوان,2
4116,ام لك هيا انتي عنجد صاير بدك تربايه من اول وجديد لك شو عم يصيرلك,0
4117,صاحبتي اضافرها نموهم واقف و اطرافهم مأكوله كل اضفر عندها شكل,3
4118,قبل ما توقف على رجليها مسكها حدا من شعرها و شدها منو بقوه خلتها تصرخ بصوت عالي وبخوف,0
4119,منا بالاول قرفت مخي منهم بالاخر لما اعملت هيك ولا اثر,2
4120,و تكررت نفس القصه البايخه المعتاده اني ارن ارن ما يرد بعد الرنه الرابعه صار يعطيني مغلق صرت اغلى و ركبي يشعطو و نزلت عالكرسي و انا دايخه و الجرسون جبلي قنيه و دفعوني تلت ليرات هيك عالفاضي و قمت روحت و انا بتحلف اني اول ما اوصل البيت اتركه,3
4121,ما ردت وضلت تلعب وتطلع صوت,0
4122,سؤالي بسيط بس مش عارفه شو اقول هاي القصه,2
4123,اكيد لأ خليكو منطقيين,3
4124,شو ما اعمل حتى لو اشعل اصابعي العشره شمع اهلي ما بعجبهم,3
4125,هه طب انا اذا بدهم يعرضو ذكرياتي شو رح يعرضو,3
4126,تعلمت ان الذي يتفلسف كثيرا يقول انا وأنا هو فارغ من الداخل,1
4127,ببلد بيسوى صرمايه مقطعه ببلد الزعران فيه حاكمين,1
4128,زهديه بلشت تتوتر و رجليها بلشو يرجو من التعب,3
4129,و منو بكسب فيه اجر لما بورجيه قديش الحياه صعبه و انو محظوظ انو نخلق خروف مو انسان,3
4130,اذا الفتره اللي قاعدينها معهم مطوله اعملي حمام جوا غرفتك بس دش للاستحمام عالاقل بعرف وحده عايشه مع اهل زوجها عملو هيك بغرفتهم,2
4131,دخيل الزغار احلى,1
4132,بس مش مشكله المهم المحاوله,3
4133,تحرير الاسرى الفلسطينيين وعودتهم ل ديارهم,1
4134,مم بس رقص عن رقص بيفرق,2
4135,اولاد و اولاد عم يلعبو بغرفه الألعاب,0
4136,هاد غدى اليوم محشي كوسا و ورق عنب ولا اطيب من هيك غدى من تحت ايدين امي الله يحفظها ويقويها ويعطيها الصحه,2
4137,ما بلحق اخد نفس الا بسمع عمتي بتقول,3
4138,شفت الحدا الي جنبها,0
4139,انو نتراجع عن نهج بي الكل,1
4140,وهل تعلم انو هاد الشخص هو نفسو زمان قبل التطور هو نفسو اللي يقعد عالبرنده لا شغله ولا عمله يراقب ام رامي شو شاريه و شو جاب لولادو و سماح ليش بتبكي من امها ومين رحل جديد و ابتسام شو طابخه,3
4141,الكهربا اجت عنجد مش بالإعلام,1
4142,بتروح بتحط كم صوره تضامن و كم بوست و و هاشتاغ لإنو بس هاد الي بتقدر عليه متلي,3
4143,اويها ايش هاد وإيش فنوا,0
4144,لإنو كتير حلو و بشبه كريستيانو,3
4145,ليش استاذ بدي السبب اللي يمنعنا كإعلاميين ننشر حقيقه شو لمتى راح هاد المكان يخبي الحقيقه ويتغاضى عنها بعدين شو ذنب الاطفال والنساء والشيوخ اللي بالصور مذبوحين لندفهن وماناخد حقهن حتى لو بالصوت,0
4146,طيب ممكن رقمك لاطمن عليكي,0
4147,انا شخص مصاب بالسكري و بشوف حلوي لم ا حدا مثل رئيس الجمهوريه بيدعمني و وهو لل الكل,1
4148,جوزك تفكيرو صح مابدو تعب وخلفه بدو ينبسط بجوزتو مش معنا حكا هيك بكرهك,2
4149,مع احترامي الشديد لشخصك هم موظفين السلطه اللي بيقبضوا وهم قاعدين,2
4150,الله لا يدوق هالكاس لحدا,1
4151,كانت عم تشد ع اسنانها كنت سرحانه بملامحها,0
4152,و شب طويل جهم اصلع و عضلاته بحجمي مرتين ثلاث,3
4153,ولك وين رحتي بدكيش تعرفي بأي مستشفى,3
4154,موجود في السوبر ماركت,2
4155,شو كربوجه هل بنت,1
4156,صدقتي احتمال قالت نتسلا بس علقت الشب فيها وانتي عارفه الزلام بتعقلو زي الاطفال وبنات هلايام برمو حالهم ع الشباب,2
4157,حرام نضحك اكيد هيا مش قصدها,2
4158,خلي المدرسه تشجعو من عندها لو وديتي للمدرسه حاجات وشوكلاته كل اسبوع بحيث لما تلاقيه حافظ تعطيه حاجه وتصقفلو راح يسير يدرس اكتر ويركز اكترويروح تاني يوم حافظ الدرس وفاهمو علشان الحاجه والتشجيع,2
4159,تخافيش هدول العفاريت بلعبو,2
4160,خلال هالفتره ازا شفتي مني اي تصرف بخليكي تحسي انو ما بستاهل شوف اولادي متل اي اب بالدنيا وقتها لا تشهديلي واشهدي ضدي اتفقنا,0
4161,ام طيب انتو هلا جهزو حالكن للسفر,0
4162,اني اختفي ولما امسك اي اشي يختفي معي,3
4163,ان شاء الله يحدد يوم وتاريخ معين,3
4164,هي الي ضايل والله,2
4165,انعام سافر حبيبي عندو شغل ضروري بس ما بيتأخر,0
4166,لك نحنا عرسان,0
4167,وبعدها خبري اهلها وقوليلها,2
4168,برضو غبت عن الحاره كم يوم بحجه انو عليي الامتحانات مشان القصه تنتسى,3
4169,انه بلدنا يصير بلد,1
4170,دايما بكون عامله حالي مشغوله بتلفوني بس و حواسي كلها بتكون شغاله مع الي بسولفو جمبي يعني شو اقلكو كلمه نسناسه و حربايه قليله علي,3
4171,هه والله وانا كمان بس لسه انا سنتين يالهوي بدو يضل ست سنين هيك,2
4172,اللي صرلكو خمس سنين بتحاولو معها,3
4173,كيلو مشكل ل ل,1
4174,كان رايح يطول بيبسي لقا عند التلاجه,3
4175,هو مش اعتراض بس هو احنا العرب حشريين و بنحب نشغل حالنا بخصوصيات الناس عند الاجانب ما في منه هالحكي مع انه كتير منهم بيوتهم مزبله بس ما في حد بينتقد التاني لانه كل واحد حر بحياته و كل واحد مهتم باموره مش بالتفاهات اللي عنا,2
4176,لا حول ولا قوه الا بالله قلبي معك اختي ويل ريت بطلع بأيدي اشي اساعدك,3
4177,حبيبتي شوفي شو صار معي,2
4178,حلا ليش ما عاد اخدتي منو,0
4179,بالخوف من السياحه و السياح السياحه و الازدهار راجعه علبنان,1
4180,الا انا بمكاني و بسمع و برمي حكي للطالع و النازل,3
4181,خليكي بعيده ا حسن وبلا منها هل الصحبه بجد ابعدى ا حسن بس لا تقطعي خليكي مرحبا من بعيد وخصوصن انك قريبه كمان,2
4182,مش كلهم انا عسل كنايني بناتي واحسن,2
4183,في مجتمعنا الناس بتحكي ع الاحول احول وع الاعرج اعرج وبتحكي ع المحترم واللي مش محترم وع اللي بتضحك وع اللي ما بتضحك وع اللي لابس وع اللي مش لابس وع الفقير وع الغني,2
4184,و اختها عالسريع ردت الله يعينك فيما ابتلاك يخوي ي حبيبي ي غالي,3
4185,بدل ما تسكرو الطرقات عل شعب روحو سكرو طريق المسؤولين,1
4186,يسكر وزاره او مرفق عام بعهد لا مياوم ولا مشاهر,1
4187,كمل مكالمتك كمل,0
4188,صحتين وهنا بس بدي اسالك حبيبتي كيف الدوالي بضل متل ما هو وما بفرط للعلم اني بلفو متل القلم,3
4189,نقيب اصحاب الشاحنات سنتوقف عن العمل انطلاقا من صباح غد لأن القرارات الصادره بحقنا مجحفه,1
4190,يختي مش عارفه عشو بتجروا وبتدوروا عوجع الراس,2
4191,شكلي وقعت بمشكله كبيره لازمها شغل كتير لتقدر تحقلي اهدافي شو هالورطه,0
4192,حضرتك رديتي ع حالك من حالك,2
4193,سائقي الشاحنات عمال الكهرباء الاساتذه موظفي الضمان سلسله الرتب طيب وين رايحين والمسؤلين الزعران ما تاركين للمواطن لازم يتظاهر,1
4194,ومره خليتو يتصورلي بالشباح هاهاهاهاهاها,3
4195,هسا انا شخصيا لا طويله ولا قصيره انا وسط,3
4196,فات وسكر باب البيت,0
4197,عيد ميلادي قرب اوكي,1
4198,ييس باسيلل فراطات وانت شو,1
4199,منك شي كلمه تفرفحني,1
4200,بنت يإذن الله هه,0
4201,يا عمي بنت ايش اللي تفهم عليك هيا ام سنتين ونص يدوب تتكلم اصلا ولا تفهميها ولا شي لساتها بيبي كتير عهيك كلام انت انتبهي عليهم وبس ولو الولد مش مزبوط بلا منو حتى بتخافي عحالك منو راقبي انت والاحسن تبعدي عنكو بلا هبل,2
4202,حست الهوا عم يفوت لالبها وينظفو,0
4203,جمال عم يحكي درر جرب تكون صديق مع فنان و وجهلو انتقاد بينسى كل تاريخك معو لأنك ما قبلت تلمعلو فشلو,1
4204,فشرتي انتي و تكونو جزء من عيلتنا لك نحنا ما منتشرف بهيك اشكال,0
4205,متأكده بتقدري تتحممي لحالك,0
4206,روبوت يساعد الأطفال المصابين بالتوحد على تحسين مهاراتهم,1
4207,يمكن انا مع اللولب كل شهر عندي تقيله يلا هينا بنتعلم,2
4208,تبطل تدور ع رضا حماتها بتلاقيها رضيت تلقائي,2
4209,اوعى هاي الاشياء بتاثر بشكل سلبي عالاولاد بهاد السن وممكن تكون بعيد الشر سبب لاضطراب التوحد,2
4210,و كل ميجي شهر تنين ادورلي ع اي بس مارق و اتجوزو,3
4211,انا اول وحده بمسيك كالعاده,1
4212,انا بعمله وبطلع زاكي جدا صحتين وهنا,2
4213,والله عندما سمعت السيد يقول انه يوجد في البلد من يتواصل مع النصره فوق وتحت الطاوله توقعت شي شخصيه بهالبلد يطموا حالن بالزباله,1
4214,هو كان مبارح قال ضحكه البشعه الليله على الطريق لأ ما هو قالوا معن بيفهم برنامج وفي مذيعين تقال دم عم يحكوا بنفس الوقت,1
4215,القلب بدو شاورما والمعده بدا والجيبه بتقول كاسه شاي وبتمشي عالسريع,1
4216,عرفتوا لصاحبنا دافنينوا سوا,1
4217,بدنا شي بفرفح القلب ما في الا صوت و اغاني قصص الدمار و عواطف الكاذبه خلوها ل فانز غيرنا هه,1
4218,بعتلي يعني خلينا نلتقي بعد ساعه بالحديقه الي جنب مدرستي,0
4219,ما في تاكل راسي,3
4220,شكرا خلص تزقفوش هيني منصرفه عدراستي,3
4221,فارس لا بس عم ترجفي,0
4222,بطنجره الضغط حطيتهم مع بصل وملح ومطيبات ملح فلفل هيل قرفه كركم كاري او بهارات عاديه الموجود,2
4223,اسمعي انا بالشغل وهي المواسرجي جاي يصلح المغسله خليه يصلحها و اعمليلو شاي وما تحاسبيه انا حاسبتو,3
4224,ما تعرضى جسمك لحراره متلا الدفايه او البرد الشديد وحتى بيكونو منفخين مع البروده الشديده,2
4225,نضل نتعرض لتشويه صورتنا ونضل ساكتين,1
4226,بكيتينا الله يشفيكي و يشفي كل مريضي اليموفيليا,1
4227,نخسر بشر بس ما نخسر مبادينا ودروبنا صوب فعل الطيب مندفعه ما نلتفت ل الكلام اللي يجي فينا انفوسنا عن كلام الناس مرتفعه,1
4228,الحمد لله ناقشنا كل القضايا والمواضيع المهمه وضل نتناقش بنضافه بيوت الناس هه,2
4229,الله معك يا بيت صامد بالجنوب يال تحت سقفك عالوفا تربينا ومش كتير عليك ترخصلك قلوب,1
4230,مع انو اي واحد لو عمل لايك وشير ما رح يخسر اشي بس احنا بنزعل عالأمل شفت كومنتات حسيت انو الناس عايشه تستنى تربح و بدعو يا رب يكون الايفون من نصيبي,3
4231,كلامك بينطبق علي البنت هاي لما زهقتني يوم فرحي بس بصراحه لو وجودها وتنسيقها الكامله لفرحي ما كان طلع حلو لدرجه كبيره حبيبتي ي اختي عقبال ما انسق اغاني فرحك,2
4232,ام اسلام مستحيل مستحيل انا ما رح خليها تضيع حالها,0
4233,بحطك جوات قلبي على اساس قلبو كاراج,1
4234,عم غني ياسنيني كلامي مكتوب,1
4235,وانا لسه الناس بيطلعو علي وبيهمسو بين بعضهن مو هي الي انخطبت خمس سنين واتطلقت اي انا هي,0
4236,صغير و حكياتو حلوين و ضحكتو بتجنن,0
4237,اخر الزمان يكثر الهرج و المرج,2
4238,هسا فجأه صارت حاله استنفار بالبيت,3
4239,تجهيز اغراض وكروت عرس وميك اب وفساتين,0
4240,طب مين اللي شجعك لا ومطويها ومرتبها,3
4241,شباب في ورشه حف و دهان يوميه مين يجي الاكل علينا اذا خلصنا الشقه بدري بطلعلنا اكتر من,3
4242,منقول انا متجوزه جديد,3
4243,ابي ليش بتبكي انا اسفه انا اسفه بابا حبيبي خلص لاتبكي ريتو انقطع لساني بس والله اشتقت لامي,0
4244,بما انو حكومتنا بقطاع مصره علي انها تكون حكومه وتسعد شعبها من كل النواحي ومايكون محتاجه اي شيء,2
4245,اول مره اشوف شب ع هيئه ملآك,3
4246,يختى هى كلمه الطلاق بالساهل بجد استفزيت كل وحده صارت ما تتفاهم مع جوزها تطلب الطلاق نسبه الطلاق مرتغعه بشكل كبير يختى امهاتنا كانت تشوف الويل و وكانو يعيشو عند دار العم ويخدمو وحياتهم لا تطاق والوحده تعيش مشان اولادها واضحى وتقول كله بهون مشان ولا,2
4247,برنامج بيرفع الراس ومن الآخر,1
4248,بدنا نلحق هالناس كلهن راحو على,0
4249,انو يقرب على الجبل بيوقع وبفك رقبتوا,1
4250,شلونك وين هالغيبه صاير معك شي في شي عم تبحث عليه,0
4251,حسيت بغبائي كيف كنت متخيله انها تتركني بحالي البساطه,0
4252,كل شي واقف جنبك,1
4253,احترق قلبي من كلمتو هي,0
4254,الخطبه كلها حب و رواق و احسن ما عندو الواحد ببين و الأصح تكون فتره الخطبه لا تقل عن سنتين وقتها يلي بمثل بكون وقف تمثيل و المستخبي بان و عالزواج بقى بطلع الخمير و الفطير هه بس بشكل عام المفروض هالشغلات خلصت من زمان صرنا بجيل انا هيك حبيتني اهلا و سهلا ما حبيتني يلا باي هه,3
4255,كيفني اه شو عم تعمل هون,0
4256,حلفت ميت يمين انها اخر مره,3
4257,ليش اذا سمع انها سافرت بنجن وبصير يحكي عليها,3
4258,زي اي تاجر بدفع ضريبه على بضاعته,2
4259,الانسان ما بشبع ازا تغدا اليوم منيح بكرا برجع بجوع الانسان و الاكتفاء مستحيل يلتقو,3
4260,بعوده الأزمات السياسيه و الفراغ,1
4261,فات لعندها وقعد جنبها على التخت,0
4262,اذا بدك تكون فاشل ضل بهل بلد,1
4263,واعملي حالك مو شيفاه ومو هيك وبينيله انك مبسوطه كتير مع زوجك وانه هو فعلا بيستحقك وان عيلتك اخلى واغلى شي بحياتك ولو صار وتقابلتو اتعاملي رسمي جدا جدا,2
4264,انت دماغ والله يا بنتى,2
4265,ليك هال اخو شليتي,1
4266,انا فكرتها صابها شي مس,0
4267,انو ما في امل ب هالبلد طالما الطائفيه دستورنا,1
4268,ولو حكتلهم ايش نساويلها م الكل بحمل,2
4269,جيبي حرامين حراري فاخر واعماليهم لحالك,2
4270,شعب موظف عند السلطه يكذب ليل نهار يتحرك و يتوقف بامرها يخدم النكايات بين المسؤلين ام السلطه,1
4271,رحمه الله عرفته شريف في نظاله ومعاملاته وعلاقاته عبر مراحل عمره,2
4272,لوقت ما كنت طالعه كب الزباله الساعه تمانيه ونص بالليل وشفت كندره قدام باب بيتها رميت الكيس بالزباله و فتت عالبيت بسرعه,0
4273,سواء اشي منيح او مش منيح,3
4274,دخلت عالمدرسه الشرار بقدح بين عيوني قدح ناويه شر مجهزه وضعيه البسه الي جاي تدافع عن ولادها,3
4275,الحمدلله ع كل حال الحمدلله ع كل شغله صغيره بتصير معنا او قصه او مشكله وما منعرف انو ورا هالشي في خير وحكمه بس نحنا مو شايفينا,1
4276,المهم بعد عيد ميلاد ولما كل البنات يروحو وتبلش تنظف بالبيت و امها فوق راسها بتبهدلها المهم بتفقد خاتمها الذهب اللي شلحتو وحطتو عالمراي بأول الحفله,3
4277,يا حلوين دخيل المذوق,1
4278,والله عيب واحده امها متوفيه اغلا الناس علي قلبها و بدها حماتها اكل وين صارت هاي,2
4279,انو كل الشعب بتهموا مصلحه,1
4280,خبر عن ابطال اليمن,1
4281,اصلا بيتبان انها مبسوطه وفايقه ورايقه عشان تعمل معجنات,2
4282,اصحاب الكاميونات حيوانات و فلتانه والدرك عم يتفر ج,1
4283,رح تتجوز طيب كيف و ايمت لحقو,0
4284,قانون الغابه لا يحمي الطيبين يا امال وغاب عنهم ان يد الله فوق ايديهم,2
4285,الوطن مو لفلان وابن فلان,1
4286,تعيش وتاكل غيرا,1
4287,مضحك مبكي انو عشر خواريف على التويتر بفكرو انو بيقدرو يطلعو و ينزلو برنامج,1
4288,تمنيت اسمع خطا جيشنا هز الارض,1
